2026-02-01 21:37:12 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:12 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:12 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:12 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:12 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:13 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:13 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:13 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:13 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:13 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:13 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:14 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:14 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:14 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:14 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:14 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:14 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:15 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
2026-02-01 21:37:15 | W | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: disconnected from MQTT broker (rc=7)
2026-02-01 21:37:15 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: subscription to PVROUTER001/DATA successful
2026-02-01 21:37:15 | I | optimasol.drivers.router_smart_electromation.driver | SmartEMDriver PVROUTER001: successfully connected to MQTT broker
